employee_id,years_experience,gender,education_level,job_title,location,work_mode,primary_language,performance_rating,projects_completed,team_size,overtime_hours_month,certifications_count,github_contributions,birth_month,bonus_percentage,stock_options,remote_work_days,satisfaction_score,salary_category
EMP_0034,15,female,High School,Full Stack Developer,"Atlanta, GA",Hybrid,JavaScript,3,30,2,55,7,514,April,17,Yes,4,4.1,Medium
EMP_0035,14,female,High School,UI/UX Designer,"Boston, MA",Hybrid,C++,4.1,23,14,17,6,427,August,21,Yes,1,2,Medium
EMP_0036,4,male,Bachelor,Data Analyst,"Austin, TX",Remote,Swift,3.2,12,13,10,2,121,November,20,No,2,4.1,Low
EMP_0037,8,female,Bachelor,Software Engineer,"San Francisco, CA",On-site,Java,2.7,15,10,1,4,291,May,19,Yes,2,4,Medium
EMP_0038,13,female,High School,Frontend Developer,"San Francisco, CA",Hybrid,TypeScript,3.2,25,8,8,7,431,November,6,No,2,3,Low
EMP_0039,9,male,High School,Software Engineer,"Toronto, CA",Remote,Rust,3.3,15,4,15,3,419,May,18,No,1,,Low
EMP_0040,24,male,PhD,Tech Lead,Remote,On-site,Rust,3.8,35,9,2,11,642,February,,No,1,4.1,High
EMP_0041,11,male,Master,Tech Lead,"San Francisco, CA",Hybrid,JavaScript,3.2,17,15,1,5,285,August,17,No,4,4.9,High
EMP_0042,10,male,Master,Engineering Manager,"San Francisco, CA",On-site,C++,3.2,20,1,26,7,258,December,13,No,1,,High
EMP_0043,17,female,High School,Frontend Developer,"New York, NY",Remote,Rust,2.7,25,7,0,6,468,February,25,No,0,3.7,Medium
EMP_0044,8,female,Master,Product Manager,"Chicago, IL",Remote,C++,3,13,8,11,5,241,January,12,Yes,5,5,Medium
EMP_0045,18,female,Bachelor,Engineering Manager,"New York, NY",Hybrid,C++,4.4,28,9,3,7,515,August,,Yes,4,1.2,High
EMP_0046,5,male,High School,Software Engineer,"San Francisco, CA",Hybrid,JavaScript,2.1,12,8,2,6,147,May,8,Yes,5,3.4,Low
EMP_0047,16,male,Bachelor,Solutions Architect,"Berlin, DE",On-site,Go,3.1,28,5,6,7,587,August,21,Yes,4,3.1,Medium
EMP_0048,17,male,Bachelor,Frontend Developer,"Denver, CO",Remote,Swift,3.3,27,5,20,5,462,November,23,No,5,2.4,Medium
EMP_0049,4,male,High School,UI/UX Designer,"Los Angeles, CA",Remote,TypeScript,2.8,13,4,5,3,136,May,11,Yes,1,2.7,Low
EMP_0050,8,female,Master,QA Engineer,"London, UK",Remote,C++,3.2,18,4,1,3,288,August,22,No,2,2.4,Low
EMP_0051,12,male,Master,Engineering Manager,"Denver, CO",Remote,C++,2.8,22,3,2,5,489,December,6,No,0,1.4,Medium
EMP_0052,9,female,Bachelor,QA Engineer,"Toronto, CA",On-site,C++,3,18,10,0,3,229,September,13,No,5,2.8,Low
EMP_0053,9,female,Bachelor,Full Stack Developer,"Chicago, IL",On-site,Rust,3.4,19,14,0,5,422,April,18,No,0,1.5,Low
EMP_0054,5,male,Bachelor,Tech Lead,"Toronto, CA",Hybrid,TypeScript,1.8,10,13,2,3,182,July,,No,5,1.1,Low
EMP_0055,21,male,Master,Data Analyst,"Denver, CO",On-site,JavaScript,4.2,30,3,8,8,543,August,6,Yes,1,2.8,Medium
EMP_0056,24,male,Bachelor,UI/UX Designer,"New York, NY",Remote,Go,3.1,32,5,0,10,622,December,12,Yes,2,1,High
EMP_0057,23,male,High School,DevOps Engineer,Remote,Remote,Swift,3.7,36,2,9,10,751,January,13,No,1,2.2,High
EMP_0058,1,female,High School,UI/UX Designer,Remote,On-site,TypeScript,2,10,14,7,2,37,September,,No,3,2.9,Low
EMP_0059,12,female,Bachelor,Frontend Developer,"Atlanta, GA",Hybrid,Swift,4.1,23,8,0,6,322,August,10,No,3,1.7,Medium
EMP_0060,10,female,PhD,ML Engineer,"Austin, TX",On-site,Swift,2.6,19,9,1,4,308,December,,Yes,0,1.6,Medium
EMP_0061,20,male,Master,Backend Developer,"London, UK",Hybrid,Go,2.8,35,13,8,7,654,October,12,Yes,2,1.1,High
EMP_0062,9,male,High School,Frontend Developer,"Austin, TX",Hybrid,JavaScript,3.5,16,6,15,5,288,September,25,Yes,5,3.5,Low
EMP_0063,4,female,Master,Security Engineer,"Seattle, WA",On-site,TypeScript,2.7,14,6,7,3,171,January,6,Yes,4,,Medium
EMP_0064,3,female,High School,UI/UX Designer,"San Francisco, CA",Hybrid,Rust,2.5,15,5,2,2,93,July,6,,2,3.4,Low
EMP_0065,3,male,Bachelor,Security Engineer,"Austin, TX",Hybrid,Java,3,13,9,1,5,355,August,18,No,1,2.3,Low
EMP_0066,9,male,Master,Full Stack Developer,"Chicago, IL",Remote,TypeScript,2.6,24,7,0,6,253,April,19,No,1,2.1,Medium
EMP_0067,13,male,Bachelor,Security Engineer,"Atlanta, GA",Remote,Go,2.3,26,11,4,5,549,October,,Yes,0,4.7,Medium
EMP_0068,17,female,High School,Product Manager,"Atlanta, GA",On-site,C++,3.2,35,4,3,6,475,November,16,Yes,3,4.5,Medium
EMP_0069,15,male,Bachelor,Product Manager,"Chicago, IL",Remote,JavaScript,3.7,23,4,9,6,432,January,,No,1,2.9,Medium
EMP_0070,14,male,Bachelor,Cloud Architect,"Atlanta, GA",Hybrid,Swift,3.1,26,1,10,7,548,October,22,No,1,3.8,Medium
EMP_0071,7,female,Bachelor,Data Analyst,"Atlanta, GA",On-site,Java,2.3,20,1,3,2,218,August,5,Yes,2,4.6,Low
EMP_0072,4,male,Bachelor,DevOps Engineer,"San Francisco, CA",Remote,Python,3,14,12,13,4,151,August,14,Yes,2,4.9,Medium
EMP_0073,3,female,Master,Cloud Architect,"Los Angeles, CA",Remote,Go,2.7,13,8,1,4,109,August,12,Yes,0,4.6,Low
EMP_0074,8,male,High School,Tech Lead,"Los Angeles, CA",On-site,JavaScript,3.1,18,3,4,4,241,September,13,Yes,4,2.7,Medium
EMP_0075,16,male,Bachelor,Cloud Architect,"Austin, TX",Hybrid,Go,4.5,23,1,33,8,641,August,17,No,2,3,High
EMP_0076,11,male,High School,DevOps Engineer,"Los Angeles, CA",Remote,JavaScript,2,23,6,4,4,492,August,9,No,5,3.9,Medium
EMP_0077,15,female,Bachelor,Cloud Architect,"Denver, CO",Hybrid,Java,3.4,26,10,1,6,590,June,6,No,5,2.7,Medium
EMP_0078,13,male,Bachelor,Tech Lead,Remote,Hybrid,TypeScript,3.9,19,7,10,6,498,March,11,No,4,3.3,High
EMP_0079,13,male,Master,UI/UX Designer,"New York, NY",Hybrid,C++,3.3,19,5,11,6,373,August,13,Yes,3,4.9,Medium
EMP_0080,20,male,Bachelor,Cloud Architect,"Atlanta, GA",Hybrid,Python,4,26,8,13,7,500,October,5,Yes,1,1.1,High
EMP_0081,7,female,High School,Product Manager,"Boston, MA",Remote,JavaScript,3.4,15,11,0,4,265,March,,Yes,3,4.5,Low
EMP_0082,14,male,Master,Data Analyst,"London, UK",Hybrid,TypeScript,4.3,23,8,2,7,415,January,16,Yes,2,4,Medium
EMP_0083,17,male,Bachelor,Security Engineer,"Seattle, WA",On-site,TypeScript,4.4,23,2,1,9,479,November,13,Yes,4,2.6,High
EMP_0084,7,female,Bachelor,Data Scientist,"Boston, MA",Hybrid,JavaScript,3,19,13,15,4,192,December,15,No,3,2.8,Low
EMP_0085,5,male,Bachelor,Security Engineer,"Seattle, WA",Remote,TypeScript,2.6,19,10,11,6,261,March,9,Yes,4,4.3,Medium
EMP_0086,12,male,Bachelor,UI/UX Designer,"London, UK",Remote,TypeScript,3.2,26,7,1,5,317,January,9,No,3,2.3,Medium
EMP_0087,11,male,Bachelor,Product Manager,"Chicago, IL",On-site,Python,3.3,14,11,10,5,315,May,16,Yes,2,2,Medium
EMP_0088,9,female,Master,Data Scientist,"Denver, CO",Hybrid,Python,3.1,24,5,2,5,361,November,9,No,2,5,Medium
EMP_0089,7,male,Bachelor,Tech Lead,"New York, NY",Remote,TypeScript,3.7,18,3,26,7,214,October,7,Yes,4,2.8,High
EMP_0090,12,male,Master,UI/UX Designer,"London, UK",Remote,C++,2.6,19,6,7,5,458,June,,No,1,3.8,Medium
EMP_0091,4,male,Master,Backend Developer,"London, UK",On-site,C++,3.2,8,4,7,3,119,December,11,Yes,1,1.3,Medium
EMP_0092,9,male,Bachelor,Backend Developer,"New York, NY",Hybrid,Java,3,19,13,1,5,293,July,6,Yes,2,1.1,Medium
EMP_0093,5,male,High School,Solutions Architect,"Denver, CO",Remote,JavaScript,2.8,20,3,1,2,232,July,,Yes,5,3.9,Low
EMP_0094,8,male,Master,Tech Lead,"Boston, MA",Remote,JavaScript,3.4,16,6,1,5,213,October,,Yes,1,4.5,High
EMP_0095,12,male,Master,Engineering Manager,"Seattle, WA",On-site,TypeScript,2.7,17,4,2,5,389,September,15,No,,1.2,High
EMP_0096,12,male,Bachelor,Product Manager,Remote,On-site,Java,4.3,30,1,7,8,303,November,8,,3,1.1,Medium
EMP_0097,27,male,Bachelor,Product Manager,"Denver, CO",Hybrid,Java,3.6,38,3,18,11,769,May,24,No,5,2,High
EMP_0098,15,male,High School,Data Scientist,"London, UK",Hybrid,Rust,3.1,23,2,1,5,589,July,,No,3,,Medium
EMP_0099,14,male,Master,Product Manager,"San Francisco, CA",On-site,Swift,3.3,26,1,2,6,506,January,25,Yes,5,4.9,High
EMP_0100,12,male,Master,UI/UX Designer,"New York, NY",Remote,Go,3.7,16,9,1,6,304,September,23,No,3,2.7,Medium
EMP_0101,9,female,Bachelor,UI/UX Designer,"San Francisco, CA",Hybrid,TypeScript,3.6,19,4,7,6,248,September,8,Yes,2,5,Low
EMP_0102,10,female,Master,Security Engineer,"Seattle, WA",Remote,Java,2.8,19,8,1,6,355,June,7,No,5,3,Medium
EMP_0103,14,male,Bachelor,Engineering Manager,"New York, NY",On-site,C++,2.7,23,8,1,5,437,March,18,No,,3.2,High
EMP_0104,15,female,Bachelor,Backend Developer,"Atlanta, GA",Hybrid,C++,2.9,27,2,8,5,762,January,18,Yes,1,2.1,Medium
EMP_0105,9,male,High School,Data Scientist,"Toronto, CA",On-site,Java,2.1,22,8,9,4,269,September,9,No,0,2,Medium
EMP_0106,1,female,Master,Backend Developer,"San Francisco, CA",Remote,JavaScript,3.1,9,13,5,1,54,April,25,Yes,1,3.9,Low
EMP_0107,16,female,Master,DevOps Engineer,"Berlin, DE",On-site,C++,3.9,29,14,16,6,417,March,10,Yes,5,2,Medium
EMP_0108,7,male,Bachelor,Frontend Developer,"Boston, MA",On-site,TypeScript,2.3,18,4,6,2,335,March,10,No,3,2.2,Low
EMP_0109,6,female,Master,Data Analyst,"Austin, TX",Hybrid,TypeScript,2.8,15,10,20,5,213,February,22,Yes,0,,Low
EMP_0110,12,female,Bachelor,Software Engineer,"Berlin, DE",Remote,Python,4,19,8,35,4,360,December,7,Yes,5,3.5,Low
EMP_0111,18,male,Master,Software Engineer,"London, UK",Hybrid,Go,3.8,28,14,15,9,508,August,13,No,0,3.1,High
EMP_0112,5,female,PhD,Cloud Architect,"Berlin, DE",Hybrid,TypeScript,3.2,15,3,0,3,222,December,6,No,0,4,Medium
EMP_0113,11,male,PhD,Frontend Developer,Remote,On-site,Go,3.1,26,10,17,5,316,February,15,Yes,2,5,Medium
EMP_0114,3,male,Bachelor,Security Engineer,"London, UK",Remote,JavaScript,2.9,7,7,5,3,230,January,14,No,0,4.6,Low
EMP_0115,8,male,Master,UI/UX Designer,"Seattle, WA",Hybrid,Go,3.7,19,15,2,4,405,August,19,Yes,5,3.1,Medium
EMP_0116,5,female,Master,UI/UX Designer,"Toronto, CA",Remote,Swift,2.8,10,14,4,3,128,April,8,No,2,3.8,Low
EMP_0117,15,male,High School,Engineering Manager,"Denver, CO",On-site,Java,3.5,22,15,9,7,443,January,10,Yes,0,4.7,Medium
EMP_0118,25,male,Bachelor,Tech Lead,"Austin, TX",On-site,Go,3.9,35,7,1,10,654,January,11,Yes,3,1.3,High
EMP_0119,3,female,Bachelor,Frontend Developer,"San Francisco, CA",Remote,Java,2.9,10,15,16,2,278,January,16,No,5,3.6,Low
EMP_0120,13,male,Master,Software Engineer,"Boston, MA",Hybrid,Rust,3.6,27,9,1,5,367,October,7,Yes,0,3.1,Medium
EMP_0121,11,female,Bachelor,Solutions Architect,"Toronto, CA",Remote,JavaScript,2.7,21,5,16,6,480,January,20,Yes,3,4.9,Medium
EMP_0122,14,male,Master,Full Stack Developer,"Los Angeles, CA",On-site,C++,4.1,22,4,8,6,398,March,8,No,1,4.2,High
EMP_0123,17,female,Bachelor,ML Engineer,"Toronto, CA",On-site,Rust,3.6,27,6,3,5,650,September,7,Yes,1,3.8,High
EMP_0124,7,female,High School,Product Manager,"Berlin, DE",Remote,Swift,3.5,16,8,17,3,208,June,,Yes,5,4,Low
EMP_0125,20,male,Master,Cloud Architect,"San Francisco, CA",Remote,Swift,3.6,29,6,1,7,604,May,22,Yes,3,2.2,High
EMP_0126,13,male,Bachelor,Cloud Architect,"Toronto, CA",Remote,Go,3.1,19,13,2,7,397,June,8,No,1,1.8,Medium
EMP_0127,5,female,Bachelor,ML Engineer,"Chicago, IL",Hybrid,JavaScript,3.7,13,4,2,3,180,July,12,No,4,4.2,Low
EMP_0128,16,male,Master,Backend Developer,"Seattle, WA",Remote,JavaScript,3.8,30,15,4,9,422,November,10,Yes,0,4.7,Medium
EMP_0129,5,female,PhD,Data Scientist,"Atlanta, GA",Remote,TypeScript,3.9,13,5,1,1,227,February,12,Yes,0,3.8,Medium
EMP_0130,16,female,Bachelor,Data Analyst,"New York, NY",On-site,Rust,3.2,25,13,7,7,456,October,14,No,4,3.8,Medium
EMP_0131,8,female,Master,Engineering Manager,"Austin, TX",Hybrid,JavaScript,2.8,18,6,13,5,274,July,6,No,1,1.6,Medium
EMP_0132,15,female,PhD,ML Engineer,"Seattle, WA",Remote,JavaScript,2.9,22,10,58,10,377,December,20,No,3,4.4,Medium
EMP_0133,9,male,Master,Cloud Architect,"Berlin, DE",On-site,Go,3.2,16,2,3,7,276,February,,No,0,4.7,Medium
EMP_0134,13,male,High School,Frontend Developer,"Los Angeles, CA",Remote,Java,3.3,28,14,14,6,426,July,14,No,5,2.1,Medium
EMP_0135,17,male,Master,Tech Lead,"Denver, CO",Hybrid,Go,3.4,27,8,3,6,600,April,23,Yes,0,1.8,High
EMP_0136,4,male,Bachelor,UI/UX Designer,"San Francisco, CA",On-site,Java,3.1,10,10,3,2,399,October,9,No,5,1.9,Low
EMP_0137,11,female,Master,Software Engineer,"Atlanta, GA",On-site,Swift,3,20,9,0,4,677,October,9,Yes,0,4.6,Low
EMP_0138,10,male,High School,Data Analyst,"London, UK",Remote,C++,3.5,18,2,2,6,309,February,,No,5,1.3,Low
EMP_0139,11,male,Bachelor,DevOps Engineer,"Berlin, DE",Remote,Swift,2.7,22,2,0,5,279,May,17,Yes,5,4.6,Medium
EMP_0140,1,female,High School,Software Engineer,"Seattle, WA",Hybrid,JavaScript,2.6,9,6,5,4,88,June,16,Yes,1,3.7,Low
EMP_0141,15,female,Master,Full Stack Developer,"Seattle, WA",Remote,Rust,3,18,5,3,7,461,July,,Yes,4,4.2,High
EMP_0142,12,male,PhD,Data Scientist,"New York, NY",Hybrid,Rust,3.1,21,13,3,7,323,January,15,Yes,1,1.5,High
EMP_0143,11,female,Bachelor,Frontend Developer,"Chicago, IL",On-site,Python,2.7,29,15,6,5,381,June,,No,5,2.4,Low
EMP_0144,7,male,Bachelor,Cloud Architect,"Berlin, DE",Remote,Java,2.4,17,9,9,5,447,August,20,Yes,3,3.2,Medium
EMP_0145,5,female,Master,Product Manager,"Berlin, DE",Remote,Java,2.7,15,7,1,4,176,January,11,Yes,1,1.7,Medium
EMP_0146,10,female,Bachelor,Software Engineer,"Atlanta, GA",Remote,JavaScript,2.2,15,8,2,6,253,October,20,Yes,0,1.8,Low
EMP_0147,13,female,Bachelor,Product Manager,"Atlanta, GA",On-site,Java,3.4,21,11,0,6,332,May,13,No,1,2.3,Low
EMP_0148,22,female,PhD,QA Engineer,"Atlanta, GA",Hybrid,Java,3.6,28,4,11,9,664,May,5,No,4,2.9,Medium
EMP_0149,4,male,Master,DevOps Engineer,"Denver, CO",On-site,Rust,2.6,10,7,4,2,122,July,12,Yes,1,3,Low
EMP_0150,5,female,High School,Solutions Architect,"Boston, MA",Hybrid,Swift,2.2,13,9,0,6,195,December,22,Yes,4,1.3,Low
EMP_0151,8,female,PhD,Tech Lead,Remote,Hybrid,Go,3.2,10,5,12,3,330,December,7,No,2,4.5,Medium
EMP_0152,8,male,High School,ML Engineer,"London, UK",Hybrid,Python,2.4,18,1,0,7,208,May,12,Yes,4,3.6,Medium
EMP_0153,17,female,Master,Backend Developer,"Chicago, IL",Hybrid,Rust,3,28,10,1,10,435,February,6,No,3,3.9,Medium
EMP_0154,7,female,PhD,ML Engineer,"Atlanta, GA",Hybrid,Swift,2.5,17,15,2,2,508,July,,Yes,1,,Low
EMP_0155,4,female,Master,Cloud Architect,"Los Angeles, CA",Hybrid,C++,2.6,12,7,1,2,109,January,15,No,3,3.3,Medium
EMP_0156,17,female,High School,Backend Developer,"Boston, MA",Hybrid,Go,3.2,25,11,1,6,513,November,19,No,0,4.2,Medium
EMP_0157,15,female,Bachelor,Cloud Architect,"Los Angeles, CA",On-site,Rust,2.7,24,12,7,7,443,March,6,Yes,5,1.1,Medium
EMP_0158,5,female,Bachelor,Software Engineer,"Los Angeles, CA",Remote,Swift,2.3,15,3,26,7,139,October,,Yes,2,2.7,Low
EMP_0159,17,female,Bachelor,Cloud Architect,"Austin, TX",On-site,Java,3,28,10,4,7,504,March,20,Yes,5,1.7,Medium
EMP_0160,11,male,PhD,DevOps Engineer,"Berlin, DE",On-site,C++,3,19,8,53,6,282,September,12,No,0,4.2,Medium
EMP_0161,0,male,Bachelor,Tech Lead,"Boston, MA",Remote,TypeScript,2.7,11,3,4,0,156,October,9,No,5,1.2,Low
EMP_0162,8,male,Bachelor,Cloud Architect,"London, UK",Hybrid,C++,2.9,16,6,5,2,270,February,5,Yes,0,1.2,Medium
EMP_0163,14,male,Bachelor,Cloud Architect,"San Francisco, CA",Remote,Rust,2.7,33,2,7,6,530,December,19,Yes,4,4,High
EMP_0164,8,male,PhD,UI/UX Designer,"Austin, TX",Hybrid,Python,3.9,17,4,1,5,318,February,16,Yes,4,4.9,Medium
EMP_0165,9,female,Bachelor,Data Scientist,"Chicago, IL",On-site,C++,3.4,22,14,6,3,278,November,,Yes,1,4.4,Low
EMP_0166,14,male,High School,Frontend Developer,"San Francisco, CA",On-site,Go,2.7,26,1,3,4,383,February,10,Yes,4,1.2,Medium
EMP_0167,4,male,Bachelor,ML Engineer,"Austin, TX",On-site,Java,3.1,9,1,2,2,208,May,7,Yes,2,1.1,Medium
EMP_0168,5,male,Bachelor,Data Scientist,"New York, NY",Remote,Go,3.1,14,1,11,4,422,August,11,Yes,5,,Medium
EMP_0169,14,female,Master,Solutions Architect,"Berlin, DE",On-site,Go,4.2,19,1,15,6,395,September,15,No,0,1.2,Medium
EMP_0170,16,male,Bachelor,Cloud Architect,"Los Angeles, CA",Hybrid,JavaScript,3.6,26,11,27,5,551,January,13,No,3,2.8,Medium
EMP_0171,10,male,Bachelor,DevOps Engineer,"Berlin, DE",Remote,Swift,3.5,19,2,8,6,388,December,23,Yes,2,2.5,Medium
EMP_0172,11,male,Bachelor,Solutions Architect,"San Francisco, CA",On-site,C++,2.9,23,14,4,6,321,August,20,No,3,3,High
EMP_0173,1,male,Bachelor,DevOps Engineer,"Seattle, WA",On-site,Rust,2.4,8,7,1,0,324,June,24,No,5,4.6,Low
EMP_0174,14,male,Master,Solutions Architect,"Boston, MA",On-site,C++,2.8,25,15,9,7,485,June,10,Yes,5,2.7,High
EMP_0175,4,female,Master,ML Engineer,"Denver, CO",Remote,Rust,2.5,15,1,18,2,147,January,24,Yes,1,4.2,Low
EMP_0176,23,male,Bachelor,Software Engineer,"Chicago, IL",Hybrid,Python,3.3,30,2,4,13,596,November,10,Yes,0,2.6,Medium
EMP_0177,17,female,Bachelor,Software Engineer,"London, UK",Remote,Python,3,24,10,1,8,571,May,9,No,1,2.8,Medium
EMP_0178,7,male,High School,Solutions Architect,"Denver, CO",Hybrid,Python,2.1,13,15,4,7,197,August,13,No,2,4.6,Low
EMP_0179,9,female,Master,Security Engineer,"London, UK",Remote,Go,3.1,18,8,1,6,332,March,12,No,3,5,Medium
EMP_0180,1,male,Bachelor,Data Scientist,"Seattle, WA",Hybrid,JavaScript,2.7,13,15,9,0,101,April,13,Yes,0,1.9,Low
EMP_0181,10,female,Master,QA Engineer,"San Francisco, CA",On-site,Python,3.4,22,12,3,7,347,June,10,No,1,4.7,Medium
EMP_0182,12,male,Bachelor,UI/UX Designer,Remote,Hybrid,JavaScript,2.5,21,15,25,5,508,April,9,No,4,4.1,Medium
EMP_0183,6,male,Bachelor,Product Manager,"Atlanta, GA",Remote,Rust,2,19,1,3,3,283,May,20,Yes,4,1.7,Medium
EMP_0184,8,female,Master,UI/UX Designer,Remote,On-site,C++,3,20,7,1,4,238,May,24,Yes,5,1,Low
EMP_0185,16,male,Bachelor,Security Engineer,Remote,Hybrid,Python,2.7,28,3,3,6,441,August,14,Yes,2,2.7,Medium
EMP_0186,8,male,PhD,Full Stack Developer,"Austin, TX",Hybrid,Go,4.1,19,12,8,3,262,April,,Yes,0,4.2,Medium
EMP_0187,10,male,Bachelor,Product Manager,"Boston, MA",Remote,TypeScript,2.8,22,10,0,6,283,February,10,Yes,5,1.1,Medium
EMP_0188,7,male,Bachelor,UI/UX Designer,Remote,Hybrid,Swift,3.4,15,7,6,4,199,September,9,No,1,1.2,Low
EMP_0189,22,male,Bachelor,Data Analyst,"San Francisco, CA",Hybrid,Python,3.2,27,8,0,8,782,July,20,No,1,4.7,Medium
EMP_0190,5,male,Bachelor,Data Analyst,"Los Angeles, CA",Hybrid,Rust,3.9,12,11,2,2,178,December,17,Yes,5,1.3,Low
EMP_0191,7,female,Bachelor,Full Stack Developer,"Chicago, IL",Remote,Swift,2.6,20,12,3,3,536,November,5,No,4,2.1,Low
EMP_0192,6,male,Bachelor,Solutions Architect,"Los Angeles, CA",On-site,Rust,2.3,16,13,19,6,249,April,22,Yes,4,3.3,Medium
EMP_0193,21,male,Bachelor,Cloud Architect,"Boston, MA",On-site,Rust,3.8,28,12,2,11,615,April,25,No,5,3.2,High
EMP_0194,4,male,High School,Security Engineer,"Austin, TX",Hybrid,JavaScript,2.9,10,13,7,1,149,July,10,Yes,5,2.6,Low
EMP_0195,5,female,Bachelor,Software Engineer,"Toronto, CA",On-site,C++,3.3,15,15,13,1,137,September,23,No,3,2.7,Low
EMP_0196,2,female,Master,Data Analyst,"Seattle, WA",Hybrid,C++,3.1,10,7,9,0,93,June,8,Yes,5,3.1,Low
EMP_0197,9,male,Bachelor,Tech Lead,Remote,Hybrid,C++,3.3,26,6,13,5,297,March,17,Yes,1,3,Medium
